Address	City	Zip	Area	Yr Blt	BR	 HB	FB	Garage	Garage	Garage_2	Garage_3	Garage_4	Garage_5	Garage_6	SF (M+U)	Status	DOM	Sales Date	LP	Sale Pr	LAgt	LAgt Name	LAgt Ph#	SAgt	SAgt Name	SAgt Ph#
507 BRIDGESTONE DR	MOORESVILLE	46158	5503	2006	2	0	2	Y	2CATC	  	  	  	  	  	1772	SOLD	160	06/13/2013	189,900	179,500	16440	Nancy Warfield	317-409-0016	16440	Nancy Warfield	317-409-0016
772 Brill LN	MARTINSVILLE	46151	5510	2000	5	0	4	Y	2CATC	  	  	  	  	  	2724	SOLD	152	08/21/2013	299,000	299,000	32624	Shannon Schoolcraft	765-346-2550	32624	Shannon Schoolcraft	317-831-9407
1526 W BUNKER HILL RD	MOORESVILLE	46158	5502	1945	2	0	1	Y	2CDTC	  	  	  	  	  	1250	SOLD	153	05/06/2013	39,000	39,000	6385	Scott Smith	317-788-6388	6385	Scott Smith	317-788-6388
1809 BURTON	MARTINSVILLE	46151	5512	1921	3	0	1	N	NONE	  	  	  	  	  	1924	SOLD	19	02/20/2013	34,900	27,500	10509	Monica Klein-Dollens	317-885-5330	15135	Julianne Jennings	317-691-2900
365 BYRAM BLVD	MARTINSVILLE	46151	5512	1973	3	0	2	Y	2CATC	  	  	  	  	  	1668	SOLD	20	01/15/2013	52,900	45,000	20855	Linda Dzierba	  	29280	Ann Jackson	765-342-7474
11201 N C R 675	MONROVIA	46157	5502	1870	2	0	1	Y	1CATC	  	  	  	  	  	1376	SOLD	9	12/06/2012	112,900	104,000	23695	Ryan Brooks	  	23695	Ryan Brooks	812-822-1728
2980 CABIN ROW	MARTINSVILLE	46151	5506	1986	2	0	1	N	NONE	  	  	  	  	  	1044	SOLD	13	04/25/2013	9,600	9,600	11530	Douglas Daniel	765-342-7777	28384	Sherry Stout	812-361-5530
177 CENTER DR	MOORESVILLE	46158	5503	1958	4	0	1	N	NONE	  	  	  	  	  	1176	SOLD	105	02/13/2013	39,900	32,000	6915	LaMar Going	  	32929	Travis Dougherty	317-831-1313
1630 CHARLOTTE CIR	MARTINSVILLE	46151	5512	1995	3	0	2	Y	2CATC	  	  	  	  	  	996	SOLD	40	05/20/2013	73,000	64,900	6385	Scott Smith	317-788-6388	19684	Laura Turner	317-490-9308
79 CIRCLE DR	MOORESVILLE	46158	5503	1964	3	0	2	Y	2CATC	  	  	  	  	  	1354	SOLD	45	06/24/2013	69,000	54,900	6385	Scott Smith	317-788-6388	25665	Patricia Terrell	317-694-3188
11805 CIVIC CIR	MOORESVILLE	46158	5503	2003	3	0	2	Y	2CATC	  	  	  	  	  	1736	SOLD	6	11/16/2012	133,000	134,433	27679	John Harrington	317-345-7539	13876	Dottie Stapleton	317-408-3688
6327 E CLARKS HILL	CAMBY	46113	5504	2001	3	0	2	Y	2CATC	  	  	  	  	  	1212	SOLD	20	03/04/2013	66,000	66,000	32984	Rachel Watson	  	26997	Christopher Eash	317-205-4320
980 S Colfax	Martinsville	46151	5512	1947	2	0	1	Y	1CDTC	  	  	  	  	  	1059	SOLD	21	01/24/2013	31,900	27,000	20855	Linda Dzierba	  	27215	Robert Waldren	317-271-2277
139 E COLUMBUS ST	MARTINSVILLE	46151	5512	1885	2	0	1	N	NONE	  	  	  	  	  	885	SOLD	18	11/13/2012	20,000	20,500	6385	Scott Smith	317-788-6388	16107	Randy Long	  
5415 E Commons DR	Mooresville	46158	5504	2006	2	0	2	Y	2CATC	  	  	  	  	  	1708	SOLD	61	02/21/2013	204,900	198,500	1584	Debbie Cox	317-831-2599	13876	Dottie Stapleton	317-408-3688
1985 S CONSERVATION CLUB RD	MORGANTOWN	46160	5511	1990	2	0	2	Y	2CDTC	  	  	  	  	  	1632	SOLD	56	04/24/2013	89,500	89,500	11530	Douglas Daniel	765-342-7777	6829	Renee Atherton	  
13590 N COX RD	CAMBY	46113	5504	1931	2	0	1	Y	OTHER	  	  	  	  	  	2236	SOLD	90	02/15/2013	79,900	80,000	33116	Ryan Nolan	  	5708	BettyAnn Brill	  
90 S CRAWFORD ST	MARTINSVILLE	46151	5512	1947	2	0	1	Y	1CDTC	  	  	  	  	  	806	SOLD	16	04/05/2013	25,500	22,600	6385	Scott Smith	317-788-6388	27954	Angela Abraham	765-342-5500
1030 CRIMSON KING PKWY	MOORESVILLE	46158	5503	1992	3	0	2	Y	2CATC	  	  	  	  	  	1684	SOLD	64	03/13/2013	134,900	133,500	8599	Chris Castetter	317-414-1117	2520	Lillian Pierson	317-402-8277
169 N CROSS ST	MORGANTOWN	46160	5511	1900	4	0	1	N	NONE	  	  	  	  	  	2324	SOLD	259	06/20/2013	45,000	35,000	1205	Donna Walker	812-597-5464	1205	Donna Walker	  
1289 DILLMAN RD	MARTINSVILLE	46151	5510	2001	3	0	2	Y	2CATC	  	  	  	  	  	1904	SOLD	92	06/10/2013	249,900	249,900	18003	Bob Hoffman	317-590-8645	26637	Stephanie Stewart	317-831-1313
460 W DOUGLAS ST	MARTINSVILLE	46151	5512	1909	2	0	1	Y	2CDTC	  	  	  	  	  	1173	SOLD	141	04/29/2013	29,900	23,350	23695	Ryan Brooks	  	7327	Shirley Bales	  
890 EDGEWOOD DR	MOORESVILLE	46158	5503	1950	3	0	1	N	NONE	  	  	  	  	  	1175	SOLD	85	06/14/2013	56,000	53,000	12611	Kyle Johnson	317-881-7900	11964	Lisamarie Schmidt	  
6440 E FLAT ROCK DR	CAMBY	46113	5504	1999	2	0	2	Y	2CATC	  	  	  	  	  	1550	SOLD	257	10/08/2013	139,000	134,000	1000	Mike Watkins	317-882-6453	5840	Jan Mathis	  
7938 E FOX HILL DR	CAMBY	46113	5504	1956	3	1	1	Y	2CATC	2CDTC	  	  	  	  	1194	SOLD	7	04/26/2013	64,900	60,000	17829	Dennis Nottingham	888-805-8814	8541	Regina Canada	765-318-2041
4083 N Foxcliff DR	Martinsville	46151	5512	1975	3	0	4	Y	2CATC	  	  	  	  	  	3692	SOLD	130	07/29/2013	249,900	255,000	5708	BettyAnn Brill	765-342-6140	18648	Paula Molin	765-349-7653
30 GRASSYFORK LN	MARTINSVILLE	46151	5512	1957	2	0	1	N	1CARP	  	  	  	  	  	864	SOLD	35	12/28/2012	49,900	40,000	5616	Sandy Rohland	765-349-0306	5616	Sandy Rohland	  
753 W GREENCASTLE RD	MOORESVILLE	46158	5502	1960	2	0	1	Y	3CDTC	  	  	  	  	  	1368	SOLD	115	06/26/2013	56,600	49,000	12611	Kyle Johnson	317-881-7900	27956	W. Jeffrey Titsworth	317-831-9799
8325 HAGGARD CT	MARTINSVILLE	46151	5505	2001	3	2	1	Y	3CDTC	2CATC	  	  	  	  	2333	SOLD	13	05/17/2013	210,000	211,650	6385	Scott Smith	317-788-6388	16440	Nancy Warfield	317-409-0016
6583 HALL SCHOOL RD	MARTINSVILLE	46151	5507	2001	3	0	1	Y	1CATC	  	  	  	  	  	1200	SOLD	29	05/10/2013	54,900	55,000	11530	Douglas Daniel	765-342-7777	12185	Walt O'Riley	317-213-8009
426 HARLAN DR	MOORESVILLE	46158	5503	1946	3	0	1	Y	2CATC	  	  	  	  	  	1416	SOLD	18	01/30/2013	41,000	46,000	6385	Scott Smith	317-788-6388	16440	Nancy Warfield	317-409-0016
189 W HARRISON ST	MARTINSVILLE	46151	5512	1925	4	0	1	N	NONE	  	  	  	  	  	1592	SOLD	19	03/21/2013	49,900	33,000	16363	Michelle Chandler	317-413-8352	16363	Michelle Chandler	317-413-8352
379 S HOME	MARTINSVILLE	46151	5512	1958	3	0	1	Y	1CATC	  	  	  	  	  	1066	SOLD	15	11/27/2012	45,000	39,900	6385	Scott Smith	317-788-6388	16608	Shannon Kohl	  
111 S HOOKER ST	BROOKLYN	46111	5506	1940	2	0	1	N	NONE	  	  	  	  	  	832	SOLD	193	08/23/2013	34,900	28,000	20727	Kathy Taylor	  	9281	Bonnie Gould-Hanlon	  
116 S Jefferson ST	Mooresville	46158	5503	1953	2	0	1	N	NONE	  	  	  	  	  	874	SOLD	82	03/04/2013	27,000	37,000	11081	Jeneene West	317-797-8117	1198	Dianna Grindean	  
13046 N JENNA CT	CAMBY	46113	5504	2005	3	1	2	Y	2CATC	  	  	  	  	  	1783	SOLD	65	06/18/2013	75,500	70,000	21181	Christopher Price	877-694-4361	26637	Stephanie Stewart	317-831-1313
760 N JOHNSON RD	MOORESVILLE	46158	5503	1964	3	1	1	Y	2CATC	  	  	  	  	  	1572	SOLD	74	12/28/2012	119,000	117,000	22630	Tonda Hoagland	  	22630	Tonda Hoagland	317-340-4575
123 Justin DR	Mooresville	46111	5506	1992	3	0	2	Y	2CATC	  	  	  	  	  	1491	SOLD	78	02/28/2013	108,000	67,055	11081	Jeneene West	317-797-8117	24682	Todd Sacksteder	317-523-5533
10603 N JUSTIN	MOORESVILLE	46158	5504	2002	4	0	4	Y	3CDTC	  	  	  	  	  	2194	SOLD	3	02/11/2013	304,900	286,500	32944	Charles Osborne	  	12080	Debora Graham	317-370-7103
7521 N Kitchen RDG	Moorsesville	46158	5504	2009	3	2	2	N	OTHER	  	  	  	  	  	1900	SOLD	53	03/13/2013	79,900	75,900	32944	Charles Osborne	  	374	Linda Watson	317-216-4114
3700 KIVETT	MARTINSVILLE	46151	5507	1995	4	0	2	Y	2CARP	  	  	  	  	  	1456	SOLD	62	03/04/2013	34,000	29,450	6385	Scott Smith	317-788-6388	19783	Deborah Exner	317-839-0099
5 E KNOX ST	BROOKLYN	46111	5506	1947	2	0	1	Y	2CDTC	  	  	  	  	  	1051	SOLD	58	03/01/2013	16,950	16,000	11530	Douglas Daniel	765-342-7777	835	Mary Dubois	  
123 LAKE HART	MOORESVILLE	46158	5502	1953	3	0	2	N	NONE	  	  	  	  	  	1080	SOLD	245	09/27/2013	27,200	20,000	11530	Douglas Daniel	765-342-7777	25497	Lynda Durbin-Sigmund	765-315-9190
5378 E Lakeside LN	Mooresville	46158	5504	2011	3	0	2	Y	2CATC	  	  	  	  	  	1710	SOLD	5	11/20/2012	195,000	195,000	1584	Debbie Cox	317-831-2599	321	John Breck	  
131 LEWIS DR	MOORESVILLE	46158	5503	1958	3	0	1	Y	1CATC	  	  	  	  	  	864	SOLD	161	07/26/2013	46,000	41,000	12611	Kyle Johnson	317-881-7900	26637	Stephanie Stewart	317-831-1313
509 S LINCOLN ST	MARTINSVILLE	46151	5512	1940	3	0	1	N	NONE	  	  	  	  	  	1200	SOLD	118	03/13/2013	29,000	29,000	16362	Todd Schneider	317-670-2022	27215	Robert Waldren	317-271-2277
910 S LINCOLN ST	MARTINSVILLE	46151	5512	1920	4	0	1	Y	1CDTC	  	  	  	  	  	1494	SOLD	19	03/18/2013	34,000	30,154	6385	Scott Smith	317-788-6388	27215	Robert Waldren	317-271-2277
9512 N Little Point Rd	Stilesville	46180	5501	2002	3	1	2	Y	2CATC	  	  	  	  	  	2172	SOLD	107	06/07/2013	82,500	75,000	34	Herschel Allen	317-432-0280	14543	Shirley Allen	  
12209 N MAGNETIC ACRES ST	MOORESVILLE	46158	5502	1987	4	0	3	Y	2CATC	  	  	  	  	  	1718	SOLD	56	03/29/2013	212,950	189,000	22166	Marvin Burris	317-281-0303	25768	Beth Verhonik	317-839-4330
399 N MAIN ST	MARTINSVILLE	46151	5512	1914	3	1	1	Y	2CDTC	  	  	  	  	  	1966	SOLD	139	06/16/2013	25,000	27,001	23695	Ryan Brooks	  	29620	Sarah Ramsey	317-298-0961
489 N MAIN ST	MARTINSVILLE	46151	5512	1979	3	0	2	Y	2CATC	  	  	  	  	  	1574	SOLD	27	01/31/2013	55,000	55,000	13242	Tim Young	317-698-2100	15135	Julianne Jennings	317-691-2900
1350 E MAPLE TURN RD	MARTINSVILLE	46151	5512	1930	4	0	2	Y	2CATC	  	  	  	  	  	2760	SOLD	35	04/23/2013	117,900	80,000	6385	Scott Smith	317-788-6388	2257	James Vandenbark	317-831-3131
350 MAPLE ST	MONROVIA	46157	5502	1972	3	1	1	Y	2CDTC	  	  	  	  	  	1325	SOLD	82	05/29/2013	53,000	49,000	23695	Ryan Brooks	  	7529	Phil Elmore	  
852 MEADOW CT	MOORESVILLE	46158	5503	1991	3	0	2	Y	2CATC	  	  	  	  	  	1366	SOLD	16	01/28/2013	79,000	85,000	16362	Todd Schneider	317-670-2022	14683	Mark Mathis	  
289 MIDDLE ST	MORGANTOWN	46160	5511	1905	3	1	1	Y	2CDTC	  	  	  	  	  	1700	SOLD	15	04/04/2013	27,000	25,200	16362	Todd Schneider	317-670-2022	33195	Amanda Cox	765-342-5500
326 W Morgan ST	Martinsville	46151	5512	1900	4	1	2	N	OTHER	  	  	  	  	  	3368	SOLD	134	06/27/2013	59,900	53,900	2619	Wayne Ready	765-342-3729	10883	Dale Morris	317-696-6894
460 W MORGAN ST	MARTINSVILLE	46151	5512	1879	4	0	4	Y	2CATC	  	  	  	  	  	1710	SOLD	184	08/09/2013	54,900	40,000	32944	Charles Osborne	  	4502	Tara Jahnke	  
1126 NAST CHAPEL RD	MARTINSVILLE	46151	5510	1985	2	0	1	N	NONE	  	  	  	  	  	1176	SOLD	150	08/09/2013	45,000	45,000	20727	Kathy Taylor	  	20727	Kathy Taylor	317-374-9715
559 S Ohio	Martinsvillle	46151	5512	1910	2	0	1	Y	1CDTC	  	  	  	  	  	1040	SOLD	77	04/11/2013	47,900	41,000	1982	Judith Anne Strode	765-342-2920	22109	Laura Clapp	317-996-2400
1875 OLIVER CT	MARTINSVILLE	46151	5512	1973	3	0	2	Y	2CDTC	  	  	  	  	  	1525	SOLD	53	05/24/2013	50,400	48,000	11530	Douglas Daniel	765-342-7777	17951	Joyce Elstner Snyder	317-695-8238
1645 PLANTATION DR	MARTINSVILLE	46151	5512	1991	3	0	2	Y	1CATC	  	  	  	  	  	1092	SOLD	20	02/22/2013	54,900	54,320	11530	Douglas Daniel	765-342-7777	25014	Sharon Tirey	317-750-9157
9440 PORT ROYAL DR	MARTINSVILLE	46151	5505	1993	4	0	2	Y	2CATC	  	  	  	  	  	1520	SOLD	111	08/05/2013	90,000	80,000	10770	Mark Linder	  	31672	Laura Turner	317-570-3800
4090 S R 252	MARTINSVILLE	46151	5511	1970	3	0	2	Y	2CDTC	  	  	  	  	  	1636	SOLD	18	05/30/2013	32,000	31,000	12611	Kyle Johnson	317-881-7900	30326	Christina Patton	765-342-5500
2460 S R 37	MARTINSVILLE	46151	5512	1957	4	0	2	Y	1CATC	  	  	  	  	  	2016	SOLD	49	02/20/2013	39,900	41,293	11530	Douglas Daniel	765-342-7777	17951	Joyce Elstner Bolin	317-695-8238
3066 Red Horse DR	Martinsville	46151	5509	1998	3	1	2	N	2CARP	  	  	  	  	  	2576	SOLD	35	01/25/2013	94,900	87,000	20855	Linda Dzierba	  	22696	Dwayne Walters	317-701-4701
260 ROBB HILL RD	MARTINSVILLE	46151	5506	1940	3	1	2	Y	2CATC	  	  	  	  	  	2138	SOLD	4	04/29/2013	39,000	40,450	23695	Ryan Brooks	  	23695	Ryan Brooks	812-822-1728
1340 ROBB HILL RD	MARTINSVILLE	46151	5506	1945	2	0	1	N	NONE	  	  	  	  	  	1104	SOLD	77	02/27/2013	28,000	25,500	13242	Tim Young	317-698-2100	4502	Tara Jahnke	  
175 ROBIN RUN CT	MARTINSVILLE	46151	5512	1993	4	1	3	Y	2CATC	OTHER	  	  	  	  	3450	SOLD	50	04/25/2013	274,994	265,000	3248	Jodie Timby	317-362-0299	1466	Dan Weathers	317-272-5002
10307 N ROOKER RD	MOORESVILLE	46158	5503	1995	3	0	2	Y	1CDTC	2CATC	  	  	  	  	1852	SOLD	42	07/10/2013	182,500	180,000	11308	Karen Rumba	317-345-4371	22637	Maria Ridenour	317-919-3868
3942 W S R 142	MONROVIA	46157	5507	1967	3	0	2	Y	2CATC	  	  	  	  	  	1664	SOLD	16	03/14/2013	63,000	57,000	23695	Ryan Brooks	  	9624	Phil Ludlow	765-483-4622
4020 W S R 142	MONROVIA	46157	5507	1956	3	0	2	Y	2CDTC	  	  	  	  	  	1736	SOLD	49	02/19/2013	29,295	11,250	21181	Christopher Price	877-694-4361	32622	Darae Price	317-271-5959
1386 Sassafras CT	MARTINSVILLE	46151	5512	2001	3	0	2	Y	2CATC	  	  	  	  	  	1476	SOLD	33	01/04/2013	120,000	118,000	21909	Lori Richardson	765-346-1122	24492	Brenda Earnshaw	765-342-7325
5423 Shae Lake DR	Mooresville	46158	5504	2012	3	0	2	Y	3CATC	  	  	  	  	  	1759	SOLD	1	11/26/2012	217,255	217,255	1584	Debbie Cox	317-831-2599	1584	Debbie Cox	317-258-6382
1420 N SHORE DR	MARTINSVILLE	46151	5509	1990	3	0	2	Y	1CATC	  	  	  	  	  	1200	SOLD	215	09/30/2013	85,000	66,150	23695	Ryan Brooks	  	23695	Ryan Brooks	812-824-8492
4341 N SOUTH DR	QUINCY	47456	5508	1959	4	0	2	Y	2CDTC	  	  	  	  	  	1968	SOLD	31	05/28/2013	43,900	50,000	5057	Lew Peterman	317-539-6671	17951	Joyce Elstner Snyder	317-695-8238
610 SUGARWOOD DR	MOORESVILLE	46158	5503	1989	4	0	3	Y	3CATC	  	  	  	  	  	1763	SOLD	65	03/18/2013	269,900	250,000	20183	Tatyana Crismore	317-818-1999	5611	Lejo Harmeson	  
289 S SYCAMORE ST	MARTINSVILLE	46151	5512	1947	3	0	1	Y	1CATC	  	  	  	  	  	2256	SOLD	116	06/12/2013	31,900	28,500	21064	Darrell Cecil	765-318-1676	21064	Darrell Cecil	765-318-1676
709 S TALL OAKS E DR	MORGANTOWN	46160	5511	1950	3	0	1	Y	2CBLT	  	  	  	  	  	2070	SOLD	106	07/17/2013	136,000	78,409	21939	Christopher Williams	  	9999	. Non-BLC Member	  
3390 VOYLES RD	MARTINSVILLE	46151	5512	1830	3	0	2	Y	1CATC	2CDTC	  	  	  	  	2002	SOLD	264	08/26/2013	89,990	79,000	23695	Ryan Brooks	  	23350	Karen Long	317-625-2335
143 W WASHINGTON ST	Mooresville	46158	5503	1910	3	1	1	N	1CARP	  	  	  	  	  	1868	SOLD	5	03/08/2013	32,000	32,000	7208	David Brenton	317-213-1200	20274	Shonda Romer	317-372-0529
360 W WASHINGTON ST	MARTINSVILLE	46151	5512	1879	2	0	1	N	NONE	  	  	  	  	  	956	SOLD	87	05/08/2013	8,500	7,500	11530	Douglas Daniel	765-342-7777	6829	Renee Atherton	  
2495 WILBUR RD	MARTINSVILLE	46151	5509	1975	3	0	3	Y	2CATC	  	  	  	  	  	1470	SOLD	15	02/15/2013	50,000	60,001	16362	Todd Schneider	317-670-2022	31906	Valerie Wigington	317-884-3161
